[2023-06-03 03:59:45,278118] front.INFO  [NULL] [0856d6fb] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-03 03:59:45,281026] front.INFO  [NULL] [0856d6fb] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-03 03:59:45,308645] front.INFO  [ff7c7e0b] [0856d6fb] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-03 03:59:45,409579] front.INFO  [ff7c7e0b] [0856d6fb] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-03 03:59:45,410322] front.INFO  [ff7c7e0b] [0856d6fb] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-03 04:59:33,500180] front.INFO  [NULL] [3f74450d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 194.36.98.173, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
[2023-06-03 04:59:33,500784] front.INFO  [NULL] [3f74450d] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 194.36.98.173, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
[2023-06-03 04:59:33,510301] front.INFO  [09d37f30] [3f74450d] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 194.36.98.173, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
[2023-06-03 04:59:33,531515] front.INFO  [09d37f30] [3f74450d] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 194.36.98.173, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
[2023-06-03 04:59:33,532324] front.INFO  [09d37f30] [3f74450d] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 194.36.98.173, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
[2023-06-03 04:59:34,420864] front.INFO  [NULL] [7d74e66c] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 194.36.98.173, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Edg/103.0.1264.71]
