[2023-05-11 00:21:18,175798] eccube.INFO  [NULL] [2a8a5d7c] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"67","_route":"product_detail"},"request_uri":"http://www.biken-shop-mall.com/products/detail/67"}  [GET, /products/detail/67, 157.55.39.219, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-11 00:21:18,176045] eccube.INFO  [NULL] [2a8a5d7c] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /products/detail/67, 157.55.39.219, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-11 00:21:18,176499] eccube.INFO  [5f369aab] [2a8a5d7c] [NULL] [LogListener:logRequest:83] - > GET /products/detail/67   [GET, /products/detail/67, 157.55.39.219, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-11 00:21:18,200781] eccube.ERROR [5f369aab] [2a8a5d7c] [NULL] [LogListener:logException:110] - Symfony\Component\HttpKernel\Exception\NotFoundHttpException:  (uncaught exception) at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php line 212 {"exception":"[object] (Symfony\\Component\\HttpKernel\\Exception\\NotFoundHttpException(code: 0):  at /home/wp614605/biken-shop-mall.com/public_html/src/Eccube/Controller/ProductController.php:212)"}  [GET, /products/detail/67, 157.55.39.219, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-11 00:21:18,201895] eccube.INFO  [5f369aab] [2a8a5d7c] [NULL] [LogListener:logResponse:96] - < 404   [GET, /products/detail/67, 157.55.39.219, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-05-11 00:40:41,443631] eccube.INFO  [NULL] [31264776] [NULL] [RouterListener:onKernelRequest:148] - Matched route "homepage". {"route_parameters":{"_controller":"\\Eccube\\Controller\\TopController::index","_route":"homepage"},"request_uri":"https://biken-shop-mall.com/"}  [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
[2023-05-11 00:40:41,443861] eccube.INFO  [NULL] [31264776] [NULL] [AnonymousAuthenticationListener:handle:60] - Populated the TokenStorage with an anonymous Token.   [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
[2023-05-11 00:40:41,444234] eccube.INFO  [c85b2a1c] [31264776] [NULL] [LogListener:logRequest:83] - > GET /   [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
[2023-05-11 00:40:41,453772] eccube.INFO  [c85b2a1c] [31264776] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"https://biken-shop-mall.com/block/cart"}  [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
[2023-05-11 00:40:41,454580] eccube.INFO  [c85b2a1c] [31264776] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"https://biken-shop-mall.com/block/search_product"}  [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
[2023-05-11 00:40:41,464965] eccube.INFO  [c85b2a1c] [31264776] [NULL] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"https://biken-shop-mall.com/block/login"}  [GET, /, 209.127.110.64, NULL, Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)]
