id,name,rank
4,アフガニスタン,4
8,アルバニア,12
10,南極,149
12,アルジェリア,9
16,アメリカ領サモア,7
20,アンドラ,17
24,アンゴラ,15
28,アンティグア・バーブーダ,16
31,アゼルバイジャン,3
32,アルゼンチン,10
36,オーストラリア,39
40,オーストリア,40
44,バハマ,167
48,バーレーン,161
50,バングラデシュ,175
51,アルメニア,13
52,バルバドス,172
56,ベルギー,201
60,バミューダ諸島|バミューダ,169
64,ブータン,181
68,ボリビア|ボリビア多民族国,206
70,ボスニア・ヘルツェゴビナ,203
72,ボツワナ,204
74,ブーベ島,182
76,ブラジル,186
84,ベリーズ,199
86,イギリス領インド洋地域,20
90,ソロモン諸島,121
92,イギリス領ヴァージン諸島,21
96,ブルネイ|ブルネイ・ダルサラーム,193
100,ブルガリア,191
104,ミャンマー,224
108,ブルンジ,194
112,ベラルーシ,198
116,カンボジア,55
120,カメルーン,53
124,カナダ,51
132,カーボベルデ,45
136,ケイマン諸島,75
140,中央アフリカ共和国,130
144,スリランカ,108
148,チャド,129
152,チリ,134
156,中華人民共和国|中国,131
158,台湾,125
162,"クリスマス島 (オーストラリア)|クリスマス島",71
166,ココス諸島|ココス（キーリング）諸島,78
170,コロンビア,81
174,コモロ,80
175,マヨット,214
178,コンゴ共和国,82
180,コンゴ民主共和国,83
184,クック諸島,69
188,コスタリカ,79
191,クロアチア,74
192,キューバ,60
196,キプロス,59
203,チェコ,128
204,ベナン,196
208,デンマーク,136
212,ドミニカ国,141
214,ドミニカ共和国,140
218,エクアドル,33
222,エルサルバドル,38
226,赤道ギニア,113
231,エチオピア,36
232,エリトリア,37
233,エストニア,35
234,フェロー諸島,184
238,フォークランド諸島|フォークランド（マルビナス）諸島,185
239,サウスジョージア・サウスサンドウィッチ諸島,85
242,フィジー,178
246,フィンランド,180
248,オーランド諸島,41
250,フランス,187
254,フランス領ギアナ,188
258,フランス領ポリネシア,189
260,フランス領南方・南極地域,190
262,ジブチ,94
266,ガボン,52
268,グルジア,72
270,ガンビア,54
275,パレスチナ,173
276,ドイツ,137
288,ガーナ,44
292,ジブラルタル,95
296,キリバス,63
300,ギリシャ,62
304,グリーンランド,70
308,グレナダ,73
312,グアドループ,66
316,グアム,67
320,グアテマラ,65
324,ギニア,57
328,ガイアナ,47
332,ハイチ,162
334,ハード島とマクドナルド諸島,160
336,バチカン|バチカン市国,164
340,ホンジュラス,209
344,香港,208
348,ハンガリー,174
352,アイスランド,1
356,インド,26
360,インドネシア,27
364,イラン|イラン・イスラム共和国,25
368,イラク,24
372,アイルランド,2
376,イスラエル,22
380,イタリア,23
384,コートジボワール,77
388,ジャマイカ,97
392,日本,153
398,カザフスタン,48
400,ヨルダン,236
404,ケニア,76
408,朝鮮民主主義人民共和国,133
410,大韓民国,124
414,クウェート,68
417,キルギス,64
418,ラオス|ラオス人民民主共和国,237
422,レバノン,247
426,レソト,246
428,ラトビア,238
430,リベリア,242
434,リビア,240
438,リヒテンシュタイン,241
440,リトアニア,239
442,ルクセンブルク,244
446,マカオ,211
450,マダガスカル,213
454,マラウイ,215
458,マレーシア,219
462,モルディブ,230
466,マリ共和国|マリ,216
470,マルタ,217
474,マルティニーク,218
478,モーリタニア,227
480,モーリシャス,226
484,メキシコ,225
492,モナコ,229
496,モンゴル国|モンゴル,233
498,モルドバ|モルドバ共和国,231
499,モンテネグロ,234
500,モントセラト,235
504,モロッコ,232
508,モザンビーク,228
512,オマーン,42
516,ナミビア,148
520,ナウル,147
524,ネパール,157
528,オランダ,43
531,キュラソー島|キュラソー,61
533,アルバ,11
534,シント・マールテン|シント・マールテン（オランダ領）,100
535,BES諸島|ボネール、シント・ユースタティウスおよびサバ,205
540,ニューカレドニア,155
548,バヌアツ,166
554,ニュージーランド,156
558,ニカラグア,151
562,ニジェール,152
566,ナイジェリア,146
570,ニウエ,150
574,ノーフォーク島,158
578,ノルウェー,159
580,北マリアナ諸島,56
581,合衆国領有小離島,50
583,ミクロネシア連邦,221
584,マーシャル諸島,210
585,パラオ,170
586,パキスタン,163
591,パナマ,165
598,パプアニューギニア,168
600,パラグアイ,171
604,ペルー,200
608,フィリピン,179
612,ピトケアン諸島|ピトケアン,177
616,ポーランド,202
620,ポルトガル,207
624,ギニアビサウ,58
626,東ティモール,176
630,プエルトリコ,183
634,カタール,49
638,レユニオン,248
642,ルーマニア,243
643,ロシア|ロシア連邦,249
646,ルワンダ,245
652,サン・バルテルミー島|サン・バルテルミー,88
654,セントヘレナ・アセンションおよびトリスタンダクーニャ,118
659,セントクリストファー・ネイビス,116
660,アンギラ,14
662,セントルシア,119
663,"サン・マルタン (西インド諸島)|サン・マルタン（フランス領）",92
666,サンピエール島・ミクロン島,90
670,セントビンセント・グレナディーン|セントビンセントおよびグレナディーン諸島,117
674,サンマリノ,91
678,サントメ・プリンシペ,87
682,サウジアラビア,84
686,セネガル,114
688,セルビア,115
690,セーシェル,112
694,シエラレオネ,93
702,シンガポール,99
703,スロバキア,109
704,ベトナム,195
705,スロベニア,110
706,ソマリア,120
710,南アフリカ共和国|南アフリカ,222
716,ジンバブエ,101
724,スペイン,106
728,南スーダン,223
729,スーダン,104
732,西サハラ,154
740,スリナム,107
744,スヴァールバル諸島およびヤンマイエン島,105
748,スワジランド,111
752,スウェーデン,103
756,スイス,102
760,シリア|シリア・アラブ共和国,98
762,タジキスタン,126
764,タイ王国|タイ,123
768,トーゴ,138
772,トケラウ,139
776,トンガ,145
780,トリニダード・トバゴ,142
784,アラブ首長国連邦,8
788,チュニジア,132
792,トルコ,144
795,トルクメニスタン,143
796,タークス・カイコス諸島,122
798,ツバル,135
800,ウガンダ,29
804,ウクライナ,30
807,マケドニア共和国|マケドニア旧ユーゴスラビア共和国,212
818,エジプト,34
826,イギリス,19
831,ガーンジー,46
832,ジャージー,96
833,マン島,220
834,タンザニア,127
840,アメリカ合衆国,5
850,アメリカ領ヴァージン諸島,6
854,ブルキナファソ,192
858,ウルグアイ,32
860,ウズベキスタン,31
862,ベネズエラ|ベネズエラ・ボリバル共和国,197
876,ウォリス・フツナ,28
882,サモア,86
887,イエメン,18
894,ザンビア,89
